iter	Logloss
0	0.6574624258
1	0.6247734737
2	0.5937360974
3	0.5567491182
4	0.5334085257
5	0.5046366296
6	0.4843415421
7	0.4641565075
8	0.4460550145
9	0.4257748816
10	0.4121163384
11	0.3936907249
12	0.3819725492
13	0.368126698
14	0.3576213471
15	0.3499237089
16	0.3406511119
17	0.3327850587
18	0.322241403
19	0.3152048942
20	0.3093149312
21	0.3035629095
22	0.2982205462
23	0.2929403607
24	0.2887101921
25	0.2848036289
26	0.2816187147
27	0.2782512476
28	0.2749124029
29	0.2713704846
30	0.2691977557
31	0.2657565077
32	0.2628584298
33	0.2603104924
34	0.2578555376
35	0.2555055295
36	0.250968547
37	0.2490783673
38	0.2461058432
39	0.2444698616
40	0.2413096842
41	0.2400143129
42	0.2380438202
43	0.2370152524
44	0.2352614138
45	0.2342179873
46	0.2326889089
47	0.2318822667
48	0.2310596986
49	0.2302932007
50	0.2295099746
51	0.2288134414
52	0.2281738514
53	0.2274665639
54	0.2268455258
55	0.2257904721
56	0.2252309843
57	0.2243209183
58	0.2238718118
59	0.2230616693
60	0.2222499422
61	0.2215492301
62	0.2211944651
63	0.2208582435
64	0.2205349869
65	0.2201002285
66	0.2198235944
67	0.2195292494
68	0.2192597563
69	0.2190314464
70	0.2185058552
71	0.2181264613
72	0.2176366234
73	0.2174780928
74	0.2172773259
75	0.2170943176
76	0.2169216095
77	0.2165167712
78	0.2163523795
79	0.216220665
80	0.216073999
81	0.2159390734
82	0.2158171015
83	0.2156766392
84	0.2153406564
85	0.2152002942
86	0.2150890061
87	0.2147872947
88	0.2147001745
89	0.2146070193
90	0.2143510605
91	0.2141010859
92	0.2140367078
93	0.2139663747
94	0.2138786395
95	0.2138020078
96	0.2137213479
97	0.2136447459
98	0.213568119
99	0.2133585346
100	0.2130659704
101	0.2128287807
102	0.2126941745
103	0.2126550623
104	0.2125895877
105	0.2123986744
106	0.2123518134
107	0.2123028474
108	0.2122677667
109	0.2122224897
110	0.2120650558
111	0.2120223228
112	0.2118241054
113	0.2117825985
114	0.2117411741
115	0.211712695
116	0.2116705504
117	0.211626067
118	0.2115936908
119	0.2115581399
120	0.2115227921
121	0.2114910258
122	0.2113714146
123	0.2113485463
124	0.2113238375
125	0.2112929118
126	0.2112585246
127	0.2112371441
128	0.2112101802
129	0.2111764668
130	0.2111511622
131	0.211130443
132	0.2110337114
133	0.211011945
134	0.2109837057
135	0.2109566154
136	0.2109383581
137	0.2109207819
138	0.2109052698
139	0.2108895937
140	0.2108705136
141	0.2108517338
142	0.2108317446
143	0.2108087614
144	0.2107881684
145	0.2106420475
146	0.2106248422
147	0.2106011619
148	0.2105850066
149	0.2104014402
150	0.2103791838
151	0.2103316591
152	0.2103063078
153	0.2102828603
154	0.2102608177
155	0.2102466985
156	0.2102303946
157	0.2101821396
158	0.210168832
159	0.2101509941
160	0.2101346649
161	0.2101219894
162	0.2101077521
163	0.2100979284
164	0.2100827701
165	0.2100660157
166	0.2100525862
167	0.2100415444
168	0.2100289205
169	0.2100159346
170	0.2100044552
171	0.2099897938
172	0.2099739874
173	0.2099643942
174	0.2099496342
175	0.2099414792
176	0.2099263293
177	0.2098418875
178	0.2097559667
